model name,adj,accuracy,sensitivity,specifity,precision,F1
resnet34,,81.25,0.781818127190087,0.781818127190087,0.781818127190087,0.7818181818181817
squeezenet1.1,,56.25,0.49090906041322535,0.49090906041322535,0.49090906041322535,0.49090909090909085
densenet121,,81.25,0.8090908504958727,0.8090908504958727,0.783333283055559,0.7922077922077921
